Company Name,Industry,Last Price
Pricol,Auto Ancillaries,99.655
Sharda Motor,Auto Ancillaries,632.7
Auto Stampings,Auto Ancillaries,426.1225
Rajratan Global,Auto Ancillaries,601.3025
Lumax Auto Tech,Auto Ancillaries,145.35
The Hi-Tech Gea,Auto Ancillaries,183.3025
Shivam Auto,Auto Ancillaries,30.8275
Autoline Ind,Auto Ancillaries,66.605
HMT,Auto Ancillaries,28.38
Precision Camsh,Auto Ancillaries,121.11
Setco Auto,Auto Ancillaries,15.565
UCAL Fuel,Auto Ancillaries,121.99
Eicher Motors,Auto Ancillaries,2956.085
Tata Motors,Auto Ancillaries,457.435
Rane Brake,Auto Ancillaries,716.265
Motherson SWI,Auto Ancillaries,69.19
Automotive Axle,Auto Ancillaries,1630.75
PPAP Automotive,Auto Ancillaries,201.41
Elgi Rubber,Auto Ancillaries,30.432
Ganges Securiti,Finance - General,108.048
ILandFS,Finance - General,6.384
STEL Holdings,Finance - General,123.312
Religare Enterp,Finance - General,116.832
Reliance Home F,Finance - General,3.936
Lakshmi Finance,Finance - General,93.12
Jindal Poly Inv,Finance - General,222.528
Hb Stockhol,Finance - General,45.696
Kanani Ind,Finance - General,35.616
Dhani Services,Finance - General,44.88
Arman Financial,Finance - General,956.16
Nagreeka Cap,Finance - General,12.21
Transwarranty,Finance - General,10.12
Palash Securiti,Finance - General,111.21
Industrial Inv,Finance - General,130.295
Future Consumer,Finance - General,2.64
Times Guaranty,Finance - General,53.9
Dhunseri Invest,Finance - General,715.99
Indo Thai Secu,Finance - General,339.735
Pilani Invest,Finance - General,1906.3
Inventure Grow,Finance - General,3.355
Capital Trust,Finance - General,128.37
PNB Gilts,Finance - General,72.05
Prime Sec,Finance - General,104.555
Choice Internat,Finance - General,344.52
Alankit,Finance - General,13.107
Indian Bank,Finance - General,157.029
Muthoot Cap,Finance - General,253.929
Federal Bank,Finance - General,86.496
Canara Bank,Finance - General,200.328
Capri Global,Finance - General,638.979
Crest Ventures,Finance - General,173.451
Can Fin Homes,Finance - General,491.028
Ugro Capital,Finance - General,150.45
SREI Infra,Finance - General,4.998
ICICI Prudentia,Finance - General,504.9
NBI Industrial,Finance - General,2042.04
DELPHI WORLD,Finance - General,468.69
Indostar Capita,Finance - General,154.785
DB (Int) Stock,Finance - General,24.276
Orient Bell,Ceramics & Granite,487.407
Madhav Marbles,Ceramics & Granite,55.284
Ramky Infra,Ceramics & Granite,175.287
Visaka Ind,Ceramics & Granite,476.55
Bigbloc Constru,Ceramics & Granite,93.915
Patel Eng,Ceramics & Granite,21.87
Nitco,Ceramics & Granite,20.925
MBL Infra,Ceramics & Granite,19.395
ILandFS Engg,Ceramics & Granite,14.265
Andhra Cement,Ceramics & Granite,8.37
Barak Vally Cem,Ceramics & Granite,22.455
AGI Greenpac,Ceramics & Granite,224.1
CCCL,Ceramics & Granite,2.205
Setubandhan Inf,Ceramics & Granite,2.295
Supreme Infra,Ceramics & Granite,8.64
Hind Constr,Ceramics & Granite,12.915
Burnpur Cement,Ceramics & Granite,5.67
Ramcoind,Ceramics & Granite,177.93
PBA Infra,Ceramics & Granite,10.125
Man Infra,Ceramics & Granite,83.655
Murudeshwar Cer,Ceramics & Granite,21.33
Gayatri Project,Ceramics & Granite,17.01
AJR Infra & Tol,Ceramics & Granite,1.62
Unitech,Ceramics & Granite,1.755
Madhucon Proj,Ceramics & Granite,5.535
Univastu India,Ceramics & Granite,65.16
PSP Projects,Ceramics & Granite,440.1
Rain Industries,Ceramics & Granite,140.265
Vesuvius India,Ceramics & Granite,898.065
Dilip Buildcon,Ceramics & Granite,205.425
