Company Name,Industry,Last Price
Pricol,Auto Ancillaries,87.6964
Sharda Motor,Auto Ancillaries,556.776
Auto Stampings,Auto Ancillaries,374.9878
Rajratan Global,Auto Ancillaries,529.1462
Lumax Auto Tech,Auto Ancillaries,127.908
The Hi-Tech Gea,Auto Ancillaries,161.3062
Shivam Auto,Auto Ancillaries,27.1282
Autoline Ind,Auto Ancillaries,58.6124
HMT,Auto Ancillaries,27.8124
Precision Camsh,Auto Ancillaries,118.6878
Setco Auto,Auto Ancillaries,15.2537
UCAL Fuel,Auto Ancillaries,119.5502
Eicher Motors,Auto Ancillaries,2896.9633
Tata Motors,Auto Ancillaries,448.2863
Rane Brake,Auto Ancillaries,701.9397
Motherson SWI,Auto Ancillaries,76.109
Automotive Axle,Auto Ancillaries,1793.825
PPAP Automotive,Auto Ancillaries,221.551
Elgi Rubber,Auto Ancillaries,33.4752
Ganges Securiti,Finance - General,118.8528
ILandFS,Finance - General,7.0224
STEL Holdings,Finance - General,135.6432
Religare Enterp,Finance - General,128.5152
Reliance Home F,Finance - General,4.3296
Lakshmi Finance,Finance - General,102.432
Jindal Poly Inv,Finance - General,244.7808
Hb Stockhol,Finance - General,50.2656
Kanani Ind,Finance - General,39.1776
Dhani Services,Finance - General,49.368
Arman Financial,Finance - General,841.4208
Nagreeka Cap,Finance - General,10.7448
Transwarranty,Finance - General,8.9056
Palash Securiti,Finance - General,97.8648
Industrial Inv,Finance - General,114.6596
Future Consumer,Finance - General,2.3232
Times Guaranty,Finance - General,47.432
Dhunseri Invest,Finance - General,751.7895
Indo Thai Secu,Finance - General,356.72175
Pilani Invest,Finance - General,2001.615
Inventure Grow,Finance - General,3.52275
Capital Trust,Finance - General,134.7885
PNB Gilts,Finance - General,75.6525
Prime Sec,Finance - General,109.78275
Choice Internat,Finance - General,361.746
Alankit,Finance - General,13.76235
Indian Bank,Finance - General,164.88045
Muthoot Cap,Finance - General,266.62545
Federal Bank,Finance - General,90.8208
Canara Bank,Finance - General,176.28864
Capri Global,Finance - General,562.30152
Crest Ventures,Finance - General,152.63688
Can Fin Homes,Finance - General,432.10464
Ugro Capital,Finance - General,132.396
SREI Infra,Finance - General,4.39824
ICICI Prudentia,Finance - General,444.312
NBI Industrial,Finance - General,1796.9952
DELPHI WORLD,Finance - General,412.4472
Indostar Capita,Finance - General,136.2108
DB (Int) Stock,Finance - General,21.36288
Orient Bell,Ceramics & Granite,428.91816
Madhav Marbles,Ceramics & Granite,48.64992
Ramky Infra,Ceramics & Granite,154.25256
Visaka Ind,Ceramics & Granite,419.364
Bigbloc Constru,Ceramics & Granite,82.6452
Patel Eng,Ceramics & Granite,19.2456
Nitco,Ceramics & Granite,18.414
MBL Infra,Ceramics & Granite,17.0676
ILandFS Engg,Ceramics & Granite,12.5532
Andhra Cement,Ceramics & Granite,7.3656
Barak Vally Cem,Ceramics & Granite,19.7604
AGI Greenpac,Ceramics & Granite,197.208
CCCL,Ceramics & Granite,2.3373
Setubandhan Inf,Ceramics & Granite,2.4327
Supreme Infra,Ceramics & Granite,9.1584
Hind Constr,Ceramics & Granite,13.6899
Burnpur Cement,Ceramics & Granite,6.0102
Ramcoind,Ceramics & Granite,188.6058
PBA Infra,Ceramics & Granite,10.7325
Man Infra,Ceramics & Granite,88.6743
Murudeshwar Cer,Ceramics & Granite,22.6098
Gayatri Project,Ceramics & Granite,18.0306
AJR Infra & Tol,Ceramics & Granite,1.7172
Unitech,Ceramics & Granite,1.8603
Madhucon Proj,Ceramics & Granite,4.8708
Univastu India,Ceramics & Granite,57.3408
PSP Projects,Ceramics & Granite,387.288
Rain Industries,Ceramics & Granite,123.4332
Vesuvius India,Ceramics & Granite,790.2972
Dilip Buildcon,Ceramics & Granite,180.774
