Company Name,Industry,Last Price
Pricol,Auto Ancillaries,95.589076
Sharda Motor,Auto Ancillaries,606.88584
Auto Stampings,Auto Ancillaries,408.736702
Rajratan Global,Auto Ancillaries,576.769358
Lumax Auto Tech,Auto Ancillaries,141.97788
The Hi-Tech Gea,Auto Ancillaries,179.049882
Shivam Auto,Auto Ancillaries,30.112302
Autoline Ind,Auto Ancillaries,65.059764
HMT,Auto Ancillaries,30.871764
Precision Camsh,Auto Ancillaries,131.743458
Setco Auto,Auto Ancillaries,16.931607
UCAL Fuel,Auto Ancillaries,132.700722
Eicher Motors,Auto Ancillaries,3215.629263
Tata Motors,Auto Ancillaries,497.597793
Rane Brake,Auto Ancillaries,779.153067
Motherson SWI,Auto Ancillaries,84.48099
Automotive Axle,Auto Ancillaries,1632.38075
PPAP Automotive,Auto Ancillaries,201.61141
Elgi Rubber,Auto Ancillaries,30.462432
Ganges Securiti,Finance - General,108.156048
ILandFS,Finance - General,6.390384
STEL Holdings,Finance - General,123.435312
Religare Enterp,Finance - General,116.948832
Reliance Home F,Finance - General,3.939936
Lakshmi Finance,Finance - General,93.21312
Jindal Poly Inv,Finance - General,222.750528
Hb Stockhol,Finance - General,45.741696
Kanani Ind,Finance - General,35.651616
Dhani Services,Finance - General,44.92488
Arman Financial,Finance - General,765.692928
Nagreeka Cap,Finance - General,9.777768
Transwarranty,Finance - General,8.104096
Palash Securiti,Finance - General,89.056968
Industrial Inv,Finance - General,104.340236
Future Consumer,Finance - General,2.114112
Times Guaranty,Finance - General,43.16312
Dhunseri Invest,Finance - General,684.128445
Indo Thai Secu,Finance - General,324.6167925
Pilani Invest,Finance - General,1821.46965
Inventure Grow,Finance - General,3.2057025
Capital Trust,Finance - General,122.657535
PNB Gilts,Finance - General,77.16555
Prime Sec,Finance - General,119.6631975
Choice Internat,Finance - General,394.30314
Alankit,Finance - General,15.0009615
Indian Bank,Finance - General,179.7196905
Muthoot Cap,Finance - General,290.6217405
Federal Bank,Finance - General,98.994672
Canara Bank,Finance - General,192.1546176
Capri Global,Finance - General,612.9086568
Crest Ventures,Finance - General,166.3741992
Can Fin Homes,Finance - General,470.9940576
Ugro Capital,Finance - General,144.31164
SREI Infra,Finance - General,4.7940816
ICICI Prudentia,Finance - General,484.30008
NBI Industrial,Finance - General,1958.724768
DELPHI WORLD,Finance - General,449.567448
Indostar Capita,Finance - General,148.469772
DB (Int) Stock,Finance - General,23.2855392
Orient Bell,Ceramics & Granite,424.6289784
Madhav Marbles,Ceramics & Granite,48.1634208
Ramky Infra,Ceramics & Granite,152.7100344
Visaka Ind,Ceramics & Granite,415.17036
Bigbloc Constru,Ceramics & Granite,81.818748
Patel Eng,Ceramics & Granite,19.053144
Nitco,Ceramics & Granite,18.22986
MBL Infra,Ceramics & Granite,16.896924
ILandFS Engg,Ceramics & Granite,12.427668
Andhra Cement,Ceramics & Granite,7.291944
Barak Vally Cem,Ceramics & Granite,19.562796
AGI Greenpac,Ceramics & Granite,195.23592
CCCL,Ceramics & Granite,2.360673
Setubandhan Inf,Ceramics & Granite,2.457027
Supreme Infra,Ceramics & Granite,9.249984
Hind Constr,Ceramics & Granite,13.826799
Burnpur Cement,Ceramics & Granite,6.070302
Ramcoind,Ceramics & Granite,190.491858
PBA Infra,Ceramics & Granite,10.839825
Man Infra,Ceramics & Granite,89.561043
Murudeshwar Cer,Ceramics & Granite,22.835898
Gayatri Project,Ceramics & Granite,18.210906
AJR Infra & Tol,Ceramics & Granite,1.734372
Unitech,Ceramics & Granite,1.878903
Madhucon Proj,Ceramics & Granite,4.919508
Univastu India,Ceramics & Granite,57.914208
PSP Projects,Ceramics & Granite,422.14392
Rain Industries,Ceramics & Granite,134.542188
Vesuvius India,Ceramics & Granite,861.423948
Dilip Buildcon,Ceramics & Granite,197.04366
